Company,Aspect/Topic,Pos,Neutral,Negative,Overall_Polarity
samsung,giveaway,71.69811320754717,11.320754716981133,16.9811320754717,0.1956063725757122
samsung,battery,55.4054054054054,20.27027027027027,24.324324324324326,0.08345208845208844
samsung,camera,47.27272727272727,12.727272727272727,40.0,0.09978564869473959
samsung,pen,53.93258426966292,21.34831460674157,24.719101123595504,0.12926254924850433
