Company,Overall_Pos,Overall_Neutral,Overall_Neg,Overall_Polarity
oneplus,48.46461949265687,43.257676902536716,8.277703604806408,0.16
samsung,54.152599594868335,37.60972316002701,8.23767724510466,0.17
